pageid,title
637440,Jarosław Kaczyński
1803135,Michał Kamiński
1804351,Konrad Szymański
4919447,Jacek Majchrowski
5813853,Andrzej Adamczyk
5814808,Mariusz Kamiński
5814839,Małgorzata Kidawa-Błońska
5814944,Henryk Kowalczyk
5815953,Elżbieta Witek
5816023,Michał Wójcik
5816176,Zbigniew Ziobro
11158917,Mariusz Błaszczak
20699677,Tadeusz Truskolaski
41234986,Piotr Gliński
45266008,Andrzej Duda
46816382,Agata Kornhauser-Duda
48461846,Michał Dworczyk
48505487,Mateusz Morawiecki
51361150,Adam Glapiński
52208156,Anna Maria Anders
59084932,Jacek Jaśkowiak
59088713,Rafał Trzaskowski
59482605,Jacek Sutryk
60194246,Adam Burakowski
60399392,Andrzej Sadoś
60438240,Grzegorz Kozłowski
60721002,Urszula Doroszewska
61917057,Artur Michalski
62068100,Krzysztof Strzałka
62233268,Kamil Bortniczuk
62421573,Jacek Sasin
62423988,Tomasz Grodzki
62466552,Przemysław Czarnek
62551834,Jerzy Snopek
63376009,Michał Cieślak (politician)
64615854,Adam Niedzielski
64662373,Marlena Maląg
65015562,Zbigniew Rau
68424063,Grzegorz Puda
69472005,Łukasz Schreiber
