@@,itemlabel,item,startdate,enddate
+++,Karol Lutkowski,Q11736174,1991-12-23,1992-02-28
+++,Andrzej Olechowski,Q515365,1992-02-28,1992-06-05
+++,Grzegorz Kołodko,Q4228200,1994-04-28,1997-02-04
+++,Marek Belka,Q55900,1997-02-04,1997-10-31
+++,Jarosław Bauc,Q11720788,2000-06-12,2001-08-28
+++,Halina Wasilewska-Trenkner,Q9285477,2001-08-28,2001-10-19
+++,Marek Belka,Q55900,2001-10-19,2002-07-06
+++,Grzegorz Kołodko,Q4228200,2002-07-06,2003-06-16
+++,Andrzej Raczko,Q9153343,2003-06-16,2004-07-21
+++,Mirosław Gronicki,Q11781796,2004-07-21,2005-10-31
+++,Teresa Lubińska,Q9357326,2005-10-31,2006-01-07
+++,Zyta Gilowska,Q55938,2006-01-07,2006-06-24
+++,Stanisław Kluza,Q3496762,2006-07-14,2006-09-22
+++,Zyta Gilowska,Q55938,2006-09-22,2007-09-07
+++,Zyta Gilowska,Q55938,2007-09-10,2007-11-16
->,Jacek Rostowski->Jan Vincent-Rostowski,Q898174,2007-11-16,2013-11-27
->,Mateusz Morawiecki,Q11771436,2016-09-28,2017-12-08->2018-01-09
+++,Marian Banaś,Q11769295,2019-06-04,2019-08-30
+++,Jerzy Kwieciński,Q21440621,2019-09-20,2019-11-15
