name,position
Mateusz Morawiecki,Prezes Rady Ministrów
Mateusz Morawiecki,Minister cyfryzacji
Piotr Gliński,Wiceprezes Rady Ministrów
Piotr Gliński,Minister kultury i dziedzictwa narodowego
Piotr Gliński,Przewodniczący Komitetu do spraw pożytku publicznego
Henryk Kowalczyk,Wiceprezes Rady Ministrów
Henryk Kowalczyk,Minister rolnictwa i rozwoju wsi
Jacek Sasin,Wiceprezes Rady Ministrów
Jacek Sasin,Minister aktywów państwowych
Andrzej Adamczyk,Minister infrastruktury
Mariusz Błaszczak,Minister obrony narodowej
Kamil Bortniczuk,Minister sportu i turystyki
Waldemar Buda,Minister rozwoju i technologii
Przemysław Czarnek,Minister edukacji i nauki
Mariusz Kamiński,Minister Spraw Wewnętrznych i Administracji
Mariusz Kamiński,Koordynator służb specjalnych
Marlena Maląg,Minister rodziny i polityki społecznej
Anna Moskwa,Minister klimatu i środowiska
Adam Niedzielski,Minister zdrowia
Grzegorz Puda,Minister funduszy i polityki regionalnej
Zbigniew Rau,Minister spraw zagranicznych
Magdalena Rzeczkowska,Minister finansów
Zbigniew Ziobro,Minister sprawiedliwości
Michał Dworczyk,Minister - członek Rady Ministrów
Michał Dworczyk,Szef Kancelarii Prezesa Rady Ministrów
Łukasz Schreiber,Minister - członek Rady Ministrów
Konrad Szymański,Minister do spraw Unii Europejskiej
Michał Wójcik,Minister – członek Rady Ministrów
