position,title
Q55831,Acting President
Q2439222,First Lady
Q77265210,Police Commander-in-Chief
Q5261044,Deputy Marshal of the Sejm
Q5261047,Deputy Marshal of the Senate
Q104528226,Mayor of Białystok
Q13647765,Mayor of Kraków
Q6627774,Mayor of Warsaw
Q11827156,Mayor of Wroclaw
Q58402655,mayor of Bytom
Q11827118,mayor of Grudziądz
Q16185991,mayor of Nowy Sącz
Q11827131,mayor of Poznań
Q100935964,mayor of Radom
Q112179367,ambassador to Afghanistan
Q83137683,ambassador to Austria
Q110897974,ambassador to Bahrain
Q106087626,ambassador to Belarus
Q113150178,ambassador to Bosnia and Herzegovina
Q113044101,ambassador to Brazil
Q113150155,ambassador to Bulgaria
Q91931200,ambassador to Cyprus
Q107465931,ambassador to the Czech Republic
Q107428773,ambassador to Egypt
Q31274406,ambassador to Estonia
Q112179782,ambassador to Finland
Q40017215,ambassador to France
Q40017986,ambassador to Germany
Q63489520,ambassador to Hungary
Q68323385,ambassador to Italy
Q112179249,ambassador to Japan
Q110897894,ambassador to Kuwait
Q113150142,ambassador to Latvia
Q57264222,ambassador to Lithuania
Q113150165,ambassador to Montenegro
Q113139183,ambassador to Morocco
Q108420306,ambassador to North Macedonia
Q110898032,ambassador to Oman
Q40457835,ambassador to Pakistan
Q29636458,ambassador to the People's Republic of China
Q113044160,ambassador to Portugal
Q81854676,ambassador to Romania
Q61590482,ambassador to the Russian Federation
Q81226407,ambassador to Slovakia
Q107465978,ambassador to Slovenia
Q112178625,ambassador to Spain
Q110898066,ambassador to Sudan
Q112178977,ambassador to Sweden
Q112178251,ambassador to Switzerland
Q40457937,ambassador to Turkey
Q112178246,ambassador to the United States of America
Q30158510,ambassador to Uruguay
Q107428446,Permanent Representative to the European Union
Q30064617,ambassador of Poland
